id;visitorsJanuary;visitorsFebruary;visitorsMarch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;33007;14170;54363;3981;4340;3348;374;3133;3513;361;4884;1067;4238;3377;2831;3180;1755;952;4669;1725;897;335;946;1605;2852
2;44979;25269;74512;2957;3575;3939;1478;811;2891;4865;4118;4359;912;4212;4927;3572;4699;3161;3177;4593;767;4774;1208;4669;4848
3;88291;111869;65732;3994;2958;4822;4649;2251;4541;1602;1566;2064;1747;2326;4791;3986;3357;4695;3435;105;1911;2640;4645;392;3255
4;48371;114079;51838;1989;4728;1759;1238;1901;1001;3376;2001;2126;4664;361;2672;720;3326;2177;1706;4383;1593;3116;3469;3084;448
5;105031;15090;51166;1668;1586;1353;587;4398;2601;2071;1492;3875;3270;2347;1958;4267;316;907;492;3310;1494;4905;1482;4615;2172
6;63557;85007;54719;4300;103;1799;3596;1350;1671;3349;1215;3647;4786;1668;1093;2766;418;1117;4440;3456;4730;3892;316;1802;3205
7;8010;124865;54539;4829;543;4498;1004;3155;305;1367;3461;3877;1740;3126;4407;3983;3906;1767;2224;1861;2663;1923;1306;1787;807
8;16281;33070;58016;4831;3578;3356;4849;1960;1012;3289;306;260;2044;613;3930;4064;4211;3502;920;4977;2261;310;3137;3033;1573
9;104219;102347;49071;3053;1397;566;4033;4508;1293;636;1443;4501;781;4291;419;400;2480;3803;217;2237;4171;1647;1078;3881;2236
10;68153;35214;48099;1327;2050;345;3194;4643;730;552;4592;1129;3225;4524;506;1695;2523;2329;1907;3738;1803;2648;3970;370;299
11;120862;73930;49848;2653;797;3394;535;1134;3682;914;916;4857;4713;2860;2597;3198;767;2479;3965;1399;269;2737;3510;660;1812
12;98656;133777;60046;991;4809;4090;2446;3087;1067;1471;160;4630;3069;3515;4898;2801;776;2759;2356;3478;1128;2569;2514;3186;4246
13;127726;88492;55443;1764;1325;3162;4260;2125;1988;3903;1258;2489;3808;3686;1297;1628;4089;794;3272;1514;2772;2865;2735;793;3916
14;5465;147731;53508;4349;622;1644;1049;549;1706;2568;3387;3183;1507;4808;4469;3475;2453;3002;2455;224;100;4036;2367;3359;2196
15;30863;42673;72226;4954;3932;2066;1201;1635;4826;4796;3234;3380;3651;4208;3443;1832;4162;3818;2990;4077;4998;852;4740;1732;1699
16;85903;31115;54109;733;4926;242;1243;4268;3071;1304;2363;858;3551;433;4642;4197;516;4980;716;3028;2640;3696;1416;3347;1939
17;102807;11352;42806;1376;4986;131;560;276;1378;1195;2367;1024;1185;2706;2718;830;1273;4812;828;829;4674;1698;1045;2458;4457
18;141924;24315;49718;192;2672;3762;1963;2495;4709;1474;3486;4958;4996;941;364;573;3762;607;152;1161;451;2910;4933;2713;444
19;72464;16163;46766;1189;3095;3011;471;4215;1751;1049;3402;3084;749;2488;4788;1692;834;1291;1298;533;580;2986;4333;2658;1269
20;48394;62612;49565;169;2299;468;2140;4127;3654;4987;298;4648;764;262;4224;2158;3342;3114;258;553;3911;3247;790;3930;222
21;114293;28535;58304;1394;3647;4679;4184;1220;4641;539;1004;2265;1725;4692;265;3434;2392;3364;3206;669;3083;4080;647;3052;4122
22;75904;5082;42381;1586;3285;2540;1101;2054;302;478;2947;1485;2099;1403;3158;1561;2217;229;2954;1984;3085;611;1886;2968;2448
23;132740;13453;47895;678;3107;744;1696;415;1703;3314;3530;3763;687;2141;559;1945;1353;2918;1577;645;2740;4484;1662;3956;4278
24;48658;14176;63498;3929;3395;1692;4039;4227;2129;423;4360;2216;538;3272;3910;838;1767;3490;1041;4450;4439;4186;3919;3006;2232
25;117756;142344;50895;1853;1153;3861;3974;3273;3492;4307;970;3126;352;4544;612;1803;1095;4367;1836;605;161;2872;586;4578;1475
26;34649;121246;42659;1514;1028;1298;217;2116;558;2730;2638;2551;1089;507;2839;3174;2993;1008;4285;2294;690;2581;1286;1974;3289
27;49958;125810;49299;743;2496;3700;1305;3867;3613;1286;746;4220;729;1316;1738;2582;2108;569;560;2791;456;2099;4754;4620;3001
28;85407;21807;67677;4552;1764;1164;1210;2249;4786;1943;3376;4517;1570;4416;667;4878;3902;1839;4907;4985;2751;4448;2609;2703;2441
